#1
1437, -349
#2
1522, -342
#3
1604, -320
#4
1681, -284
#5
1750, -235
#6
1810, -175
#7
1859, -106
#8
1895, -29
#9
1917, 53
#10
1924, 138
#11
1932, 1373
#12
1937, 1480
#13
1952, 1569
#14
1977, 1642
#15
2013, 1699
#16
2059, 1738
#17
2059, 1738
#18
2073, 1745
#19
2087, 1751
#20
2100, 1759
#21
2113, 1766
#22
2127, 1774
#23
2139, 1782
#24
2152, 1790
#25
2165, 1799
#26
2177, 1808
#27
2189, 1818
#28
2201, 1827
#29
2213, 1837
#30
2224, 1847
#31
2235, 1858
#32
2246, 1869
#33
2257, 1880
#34
2267, 1891
#35
2277, 1902
#36
2287, 1914
#37
2297, 1926
#38
2306, 1938
#39
2315, 1951
#40
2324, 1963
#41
2332, 1976
#42
2340, 1989
#43
2348, 2002
#44
2355, 2016
#45
2362, 2029
#46
2369, 2043
#47
2352, 2051
#48
2357, 2102
#49
2389, 2141
#50
2449, 2168
#51
2536, 2183
#52
2651, 2187
#53
3473, 2187
#54
3560, 2195
#55
3645, 2217
#56
3724, 2254
#57
3796, 2304
#58
3858, 2366
#59
3908, 2438
#60
3945, 2517
#61
3968, 2602
#62
3975, 2689
#63
3968, 2972
#64
3971, 3010
#65
3981, 3047
#66
3997, 3081
#67
4019, 3112
#68
4046, 3139
#69
4077, 3161
#70
4111, 3177
#71
4148, 3187
#72
4186, 3190
#73
4542, 3205
#74
4542, 3205
#75
4986, 3205
#76
5030, 3201
#77
5073, 3190
#78
5114, 3171
#79
5150, 3145
#80
5181, 3114
#81
5207, 3078
#82
5226, 3037
#83
5237, 2994
#84
5241, 2950
#85
5233, 1679
#86
5229, 1632
#87
5217, 1587
#88
5197, 1545
#89
5170, 1506
#90
5137, 1473
#91
5098, 1446
#92
5056, 1426
#93
5011, 1414
#94
4964, 1410
#95
4542, 1403
#96
4200, 1403
#97
4156, 1407
#98
4113, 1418
#99
4073, 1437
#100
4037, 1462
#101
4005, 1494
#102
3980, 1530
#103
3961, 1570
#104
3950, 1613
#105
3946, 1657
#106
3968, 1933
#107
3960, 2019
#108
3938, 2102
#109
3902, 2180
#110
3852, 2251
#111
3791, 2312
#112
3721, 2361
#113
3642, 2398
#114
3559, 2420
#115
3473, 2428
#116
2651, 2442
#117
2537, 2448
#118
2450, 2463
#119
2389, 2485
#120
2355, 2517
#121
2347, 2556
#122
2347, 2556
#123
2341, 2570
#124
2334, 2583
#125
2328, 2597
#126
2320, 2610
#127
2313, 2623
#128
2305, 2636
#129
2297, 2648
#130
2289, 2661
#131
2280, 2673
#132
2271, 2685
#133
2262, 2697
#134
2252, 2708
#135
2242, 2719
#136
2232, 2731
#137
2221, 2741
#138
2211, 2752
#139
2200, 2762
#140
2189, 2772
#141
2177, 2782
#142
2165, 2791
#143
2153, 2800
#144
2141, 2809
#145
2129, 2817
#146
2116, 2826
#147
2104, 2834
#148
2091, 2841
#149
2077, 2848
#150
2064, 2855
#151
2051, 2862
#152
2054, 2869
#153
1995, 2929
#154
1950, 3000
#155
1920, 3081
#156
1904, 3172
#157
1902, 3274
#158
1902, 3888
